name,logo_url,history
Acura,/static/img/acura.png,"Acura는 Honda의 고급차 브랜드로 1986년 북미 시장을 위해 런칭되었으며, 퍼포먼스와 럭셔리를 결합한 차량을 제공합니다."
Alfa-Romeo,/static/img/alfaromeo.png,"Alfa Romeo는 1910년 이탈리아 밀라노에서 설립된 스포츠카 중심의 브랜드로, 유려한 디자인과 레이싱 전통으로 유명합니다."
Aston Martin,/static/img/astonmartin.png,"Aston Martin은 영국의 럭셔리 스포츠카 브랜드로, 제임스 본드 영화로도 잘 알려져 있습니다."
Audi,/static/img/audi.png,"Audi는 독일 프리미엄 자동차 브랜드로, 기술을 통한 진보(Vorsprung durch Technik)를 모토로 합니다."
BMW,/static/img/bmw.png,"BMW는 독일의 대표 프리미엄 자동차 브랜드로, ‘운전의 즐거움’을 강조하며 고성능 차량을 생산합니다."
Bentley,/static/img/bentley.png,"Bentley는 영국의 초고급차 브랜드로, 수제작과 강력한 엔진 성능이 특징입니다."
Buick,/static/img/buick.png,"Buick은 미국의 오랜 전통을 가진 브랜드로, GM 산하에서 고급스러운 대중차를 생산합니다."
Cadilac,/static/img/cadilac.png,"Cadillac은 GM의 프리미엄 브랜드로, 미국식 럭셔리카의 대명사로 꼽힙니다."
Chevrolet,/static/img/chevrolet.png,"Chevrolet는 GM 산하의 글로벌 대중차 브랜드로, 다양한 차급을 전 세계에 판매하고 있습니다."
Chrysler,/static/img/chrysler.png,"Chrysler는 미국의 대표적인 자동차 브랜드 중 하나로, 현재는 Stellantis 그룹에 속해 있습니다."
Daewoo,/static/img/daewoo.png,"대우자동차는 한때 대한민국을 대표했던 브랜드였으며, 현재는 GM Korea로 통합되었습니다."
Daihatsu,/static/img/daihatsu.png,"Daihatsu는 일본의 경차 전문 브랜드로, Toyota 그룹에 소속되어 있습니다."
Dodge,/static/img/dodge.png,"Dodge는 미국의 퍼포먼스 중심 브랜드로, 근육질 머슬카와 SUV가 주력입니다."
Eagle,/static/img/eagle.png,Eagle은 1988~1998년까지 AMC와 크라이슬러에 의해 판매되던 미국 자동차 브랜드입니다.
Ferrari,/static/img/ferrari.png,"Ferrari는 이탈리아의 슈퍼카 브랜드로, F1의 강자이며 고성능 스포츠카로 유명합니다."
Fiat,/static/img/fiat.png,"Fiat은 이탈리아를 대표하는 브랜드로, 도시형 컴팩트카와 장기 역사를 자랑합니다."
